iteration,method
1,full_gcsr_eigenvector
1,full_gcsr_pagerank
1,full_gcsr_softmax
1,graph_only_eigenvector
1,graph_only_pagerank
1,graph_only_softmax
1,rs_selection
1,rs_selection_v2
1,bates_granger_mv
1,var_error
1,recent_best
1,equal
2,full_gcsr_eigenvector
2,full_gcsr_pagerank
2,full_gcsr_softmax
2,graph_only_eigenvector
2,graph_only_pagerank
2,graph_only_softmax
2,rs_selection
2,rs_selection_v2
2,var_error
2,recent_best
2,equal
3,full_gcsr_eigenvector
3,full_gcsr_pagerank
3,full_gcsr_softmax
3,graph_only_eigenvector
3,graph_only_pagerank
3,graph_only_softmax
3,rs_selection
3,rs_selection_v2
3,var_error
3,recent_best
