oos_period,row_model,col_model,sigma_matrice
150,1,1,0.0
150,1,2,2.4334228566815255
150,1,3,3.089564063040794
150,1,4,3.109875795971185
150,1,5,3.587260826229847
150,1,6,2.724079011218307
150,1,7,3.7680230952958382
150,1,8,3.186213387483053
150,2,1,2.4334228566815255
150,2,2,0.0
150,2,3,2.0457284954456676
150,2,4,2.8891683359441522
150,2,5,3.03061194783956
150,2,6,1.2309580753699345
150,2,7,3.5197239469371997
150,2,8,2.024133412928376
150,3,1,3.089564063040794
150,3,2,2.0457284954456676
150,3,3,0.0
150,3,4,2.8469815013203226
150,3,5,1.4207428330069487
150,3,6,2.003578016373907
150,3,7,3.1704259308936167
150,3,8,2.5941335044491542
150,4,1,3.109875795971185
150,4,2,2.8891683359441522
150,4,3,2.8469815013203226
150,4,4,0.0
150,4,5,3.9697335235269153
150,4,6,2.468243320961738
150,4,7,4.276808682138764
150,4,8,2.496174382488374
150,5,1,3.587260826229847
150,5,2,3.03061194783956
150,5,3,1.4207428330069487
150,5,4,3.9697335235269153
150,5,5,0.0
150,5,6,2.9422756411153443
150,5,7,2.905715758359143
150,5,8,3.0515219575832844
150,6,1,2.724079011218307
150,6,2,1.2309580753699345
150,6,3,2.003578016373907
150,6,4,2.468243320961738
150,6,5,2.9422756411153443
150,6,6,0.0
150,6,7,3.2463186270657753
150,6,8,2.1998510630878676
150,7,1,3.7680230952958382
150,7,2,3.5197239469371997
150,7,3,3.1704259308936167
150,7,4,4.276808682138764
150,7,5,2.905715758359143
150,7,6,3.2463186270657753
150,7,7,0.0
150,7,8,4.076418943654717
150,8,1,3.186213387483053
150,8,2,2.024133412928376
150,8,3,2.5941335044491542
150,8,4,2.496174382488374
150,8,5,3.0515219575832844
150,8,6,2.1998510630878676
150,8,7,4.076418943654717
150,8,8,0.0
151,1,1,0.0
151,1,2,2.381420674021335
151,1,3,3.5715901495478835
151,1,4,2.9673729965598317
151,1,5,3.4156728486026933
151,1,6,2.7436021233582784
151,1,7,3.742132966477842
151,1,8,3.0809090669938586
151,2,1,2.381420674021335
151,2,2,0.0
151,2,3,2.6010835966583787
151,2,4,2.7343706831977594
151,2,5,2.878130672319275
151,2,6,1.1359716077538908
151,2,7,3.3627073610137748
151,2,8,1.9126836257009245
151,3,1,3.5715901495478835
151,3,2,2.6010835966583787
151,3,3,0.0
151,3,4,3.227259372533523
151,3,5,2.314735640247763
151,3,6,2.3416979427668543
151,3,7,3.06373204837585
151,3,8,3.0032991415900434
151,4,1,2.9673729965598317
151,4,2,2.7343706831977594
151,4,3,3.227259372533523
151,4,4,0.0
151,4,5,3.7806708488763547
151,4,6,2.3726112805340778
151,4,7,4.179038604825905
