oos_period,variant,row_model,col_model,sigma
21,legacy,6,4,1e-06
21,legacy,6,5,1e-06
21,legacy,6,6,0.0
21,legacy,6,7,1e-06
21,legacy,6,8,1e-06
21,legacy,6,9,1e-06
21,legacy,6,10,1e-06
21,legacy,6,11,1e-06
21,legacy,7,1,0.2019201359517185
21,legacy,7,2,1e-06
21,legacy,7,3,1e-06
21,legacy,7,4,1e-06
21,legacy,7,5,1e-06
21,legacy,7,6,1e-06
21,legacy,7,7,0.0
21,legacy,7,8,1e-06
21,legacy,7,9,1e-06
21,legacy,7,10,1e-06
21,legacy,7,11,1e-06
21,legacy,8,1,1e-06
21,legacy,8,2,1e-06
21,legacy,8,3,1e-06
21,legacy,8,4,1e-06
21,legacy,8,5,1e-06
21,legacy,8,6,1e-06
21,legacy,8,7,1e-06
21,legacy,8,8,0.0
21,legacy,8,9,1e-06
21,legacy,8,10,1e-06
21,legacy,8,11,1e-06
21,legacy,9,1,1e-06
21,legacy,9,2,1e-06
21,legacy,9,3,1e-06
21,legacy,9,4,1e-06
21,legacy,9,5,1e-06
21,legacy,9,6,1e-06
21,legacy,9,7,1e-06
21,legacy,9,8,1e-06
21,legacy,9,9,0.0
21,legacy,9,10,1e-06
21,legacy,9,11,1e-06
21,legacy,10,1,0.19113426975825332
21,legacy,10,2,0.19385314394372408
21,legacy,10,3,1e-06
21,legacy,10,4,1e-06
21,legacy,10,5,1e-06
21,legacy,10,6,1e-06
21,legacy,10,7,1e-06
21,legacy,10,8,1e-06
21,legacy,10,9,1e-06
21,legacy,10,10,0.0
21,legacy,10,11,1e-06
21,legacy,11,1,0.13312959956610756
21,legacy,11,2,1e-06
21,legacy,11,3,1e-06
21,legacy,11,4,1e-06
21,legacy,11,5,1e-06
21,legacy,11,6,1e-06
21,legacy,11,7,1e-06
21,legacy,11,8,1e-06
21,legacy,11,9,1e-06
21,legacy,11,10,1e-06
21,legacy,11,11,0.0
22,legacy,1,1,0.0
22,legacy,1,2,0.006060563131782879
22,legacy,1,3,1e-06
22,legacy,1,4,1e-06
22,legacy,1,5,0.0022825750377667405
22,legacy,1,6,1e-06
22,legacy,1,7,0.17306667320894517
22,legacy,1,8,1e-06
22,legacy,1,9,1e-06
22,legacy,1,10,0.046816193385414255
22,legacy,1,11,1e-06
22,legacy,2,1,0.006060563131782879
22,legacy,2,2,0.0
22,legacy,2,3,1e-06
22,legacy,2,4,1e-06
22,legacy,2,5,1e-06
22,legacy,2,6,1e-06
22,legacy,2,7,1e-06
22,legacy,2,8,1e-06
22,legacy,2,9,1e-06
22,legacy,2,10,1e-06
22,legacy,2,11,1e-06
22,legacy,3,1,1e-06
22,legacy,3,2,1e-06
22,legacy,3,3,0.0
22,legacy,3,4,1e-06
22,legacy,3,5,1e-06
22,legacy,3,6,1e-06
22,legacy,3,7,1e-06
22,legacy,3,8,1e-06
22,legacy,3,9,1e-06
22,legacy,3,10,1e-06
22,legacy,3,11,1e-06
22,legacy,4,1,1e-06
22,legacy,4,2,1e-06
22,legacy,4,3,1e-06
22,legacy,4,4,0.0
22,legacy,4,5,0.050189665104092694
22,legacy,4,6,1e-06
22,legacy,4,7,1e-06
22,legacy,4,8,1e-06
22,legacy,4,9,1e-06
22,legacy,4,10,1e-06
22,legacy,4,11,1e-06
22,legacy,5,1,0.0022825750377667405
22,legacy,5,2,1e-06
22,legacy,5,3,1e-06
22,legacy,5,4,0.050189665104092694
22,legacy,5,5,0.0
22,legacy,5,6,1e-06
22,legacy,5,7,1e-06
22,legacy,5,8,1e-06
22,legacy,5,9,1e-06
22,legacy,5,10,1e-06
22,legacy,5,11,1e-06
22,legacy,6,1,1e-06
22,legacy,6,2,1e-06
22,legacy,6,3,1e-06
22,legacy,6,4,1e-06
22,legacy,6,5,1e-06
22,legacy,6,6,0.0
22,legacy,6,7,1e-06
22,legacy,6,8,1e-06
22,legacy,6,9,1e-06
22,legacy,6,10,1e-06
22,legacy,6,11,1e-06
22,legacy,7,1,0.17306667320894517
22,legacy,7,2,1e-06
22,legacy,7,3,1e-06
22,legacy,7,4,1e-06
22,legacy,7,5,1e-06
22,legacy,7,6,1e-06
22,legacy,7,7,0.0
22,legacy,7,8,1e-06
22,legacy,7,9,1e-06
22,legacy,7,10,1e-06
22,legacy,7,11,1e-06
22,legacy,8,1,1e-06
22,legacy,8,2,1e-06
22,legacy,8,3,1e-06
22,legacy,8,4,1e-06
22,legacy,8,5,1e-06
22,legacy,8,6,1e-06
22,legacy,8,7,1e-06
22,legacy,8,8,0.0
22,legacy,8,9,1e-06
22,legacy,8,10,1e-06
22,legacy,8,11,1e-06
22,legacy,9,1,1e-06
22,legacy,9,2,1e-06
22,legacy,9,3,1e-06
22,legacy,9,4,1e-06
22,legacy,9,5,1e-06
22,legacy,9,6,1e-06
22,legacy,9,7,1e-06
22,legacy,9,8,1e-06
22,legacy,9,9,0.0
22,legacy,9,10,1e-06
22,legacy,9,11,0.012882505903679403
22,legacy,10,1,0.046816193385414255
22,legacy,10,2,1e-06
22,legacy,10,3,1e-06
22,legacy,10,4,1e-06
22,legacy,10,5,1e-06
22,legacy,10,6,1e-06
22,legacy,10,7,1e-06
22,legacy,10,8,1e-06
22,legacy,10,9,1e-06
22,legacy,10,10,0.0
22,legacy,10,11,1e-06
22,legacy,11,1,1e-06
22,legacy,11,2,1e-06
22,legacy,11,3,1e-06
22,legacy,11,4,1e-06
22,legacy,11,5,1e-06
22,legacy,11,6,1e-06
22,legacy,11,7,1e-06
22,legacy,11,8,1e-06
22,legacy,11,9,0.012882505903679403
22,legacy,11,10,1e-06
22,legacy,11,11,0.0
23,legacy,1,1,0.0
23,legacy,1,2,1e-06
23,legacy,1,3,1e-06
23,legacy,1,4,1e-06
23,legacy,1,5,0.03343923888771462
23,legacy,1,6,1e-06
23,legacy,1,7,0.13420494135386657
23,legacy,1,8,1e-06
23,legacy,1,9,1e-06
23,legacy,1,10,1e-06
23,legacy,1,11,1e-06
23,legacy,2,1,1e-06
23,legacy,2,2,0.0
23,legacy,2,3,1e-06
23,legacy,2,4,1e-06
23,legacy,2,5,1e-06
23,legacy,2,6,1e-06
23,legacy,2,7,1e-06
