oos_period,centrality_type,model,centrality_score
150,eigenvector,1,2.8280786149197597e-05
150,eigenvector,2,0.0004481344639869718
150,eigenvector,3,0.9562843876952944
150,eigenvector,4,3.709266253392946e-06
150,eigenvector,5,0.030223002242534377
150,eigenvector,6,0.0103304546081435
150,eigenvector,7,0.0025678288956107096
150,eigenvector,8,0.0001142020410274417
151,eigenvector,1,0.0181247101473775
151,eigenvector,2,0.1560344341412431
151,eigenvector,3,0.25043172275572906
151,eigenvector,4,0.00044205038971014267
151,eigenvector,5,0.07682727393650728
151,eigenvector,6,0.4914454590247792
151,eigenvector,7,0.002237226698497466
151,eigenvector,8,0.004457122905156172
152,eigenvector,1,5.154086401713642e-07
152,eigenvector,2,0.37716173586003304
152,eigenvector,3,0.13349903013519784
152,eigenvector,4,3.322290595391751e-07
152,eigenvector,5,0.3862229741674432
152,eigenvector,6,0.09248378092290628
152,eigenvector,7,4.980977026431874e-07
152,eigenvector,8,0.010631133178017234
153,eigenvector,1,4.204147490480127e-07
153,eigenvector,2,0.04467540111802376
153,eigenvector,3,0.6585574898162616
153,eigenvector,4,4.6440775643598144e-07
153,eigenvector,5,0.175004271012257
153,eigenvector,6,0.03785294763515223
153,eigenvector,7,0.03881519423458451
153,eigenvector,8,0.04509381136021531
154,eigenvector,1,0.013896121049344585
154,eigenvector,2,0.0031606043796541935
154,eigenvector,3,0.13582052252571727
154,eigenvector,4,0.05139560885154576
154,eigenvector,5,0.22486935491142557
154,eigenvector,6,0.08817822617851045
154,eigenvector,7,0.22998815629103064
154,eigenvector,8,0.2526914058117713
155,eigenvector,1,0.037073039221346325
155,eigenvector,2,0.05817152044638131
155,eigenvector,3,0.14436147195747284
155,eigenvector,4,0.13647086953433998
155,eigenvector,5,0.03979874121700684
155,eigenvector,6,0.07591793657254255
155,eigenvector,7,0.4214498382754642
155,eigenvector,8,0.08675658277444592
156,eigenvector,1,0.03125791209434014
156,eigenvector,2,0.16747787970670844
156,eigenvector,3,0.06643398824626678
156,eigenvector,4,0.19959655073116458
156,eigenvector,5,0.22616254106125158
156,eigenvector,6,0.03516943766659375
156,eigenvector,7,0.22608441812588298
156,eigenvector,8,0.04781727236679164
157,eigenvector,1,0.06350520756660016
157,eigenvector,2,0.27814336122504785
157,eigenvector,3,0.14589342271695635
157,eigenvector,4,0.10186478551742424
157,eigenvector,5,0.20015520114893418
157,eigenvector,6,0.17528951614922184
157,eigenvector,7,2.5549770571548817e-07
157,eigenvector,8,0.03514825017710962
158,eigenvector,1,0.0671039622541979
158,eigenvector,2,0.14450152506197098
158,eigenvector,3,3.099920614182461e-06
158,eigenvector,4,0.0029093872325520343
158,eigenvector,5,0.7672612617574421
158,eigenvector,6,0.018066620817143008
158,eigenvector,7,8.377828254464638e-06
158,eigenvector,8,0.00014576512682530244
159,eigenvector,1,0.00833647394713144
159,eigenvector,2,0.3688588409562111
159,eigenvector,3,0.0066540346884431684
159,eigenvector,4,0.2498083623708786
159,eigenvector,5,0.3526021305320759
159,eigenvector,6,0.009478960773425013
159,eigenvector,7,0.0007226736821026967
159,eigenvector,8,0.0035385230487321347
160,eigenvector,1,0.034374849185486334
160,eigenvector,2,0.5646784629407698
160,eigenvector,3,0.007083515247908438
160,eigenvector,4,0.2199924624396193
160,eigenvector,5,0.13964083357306178
160,eigenvector,6,0.0008606901470377693
160,eigenvector,7,0.009402315391335464
160,eigenvector,8,0.023966871073780836
161,eigenvector,1,6.420261471625947e-05
161,eigenvector,2,0.9301686199265649
161,eigenvector,3,5.876680557224556e-06
161,eigenvector,4,0.06923675685419632
161,eigenvector,5,0.00042609793884263515
161,eigenvector,6,1.1981176554157281e-05
161,eigenvector,7,7.6164634280669806e-06
161,eigenvector,8,7.884834414056785e-05
162,eigenvector,1,4.515665383287172e-05
162,eigenvector,2,0.9996052192344239
162,eigenvector,3,2.653964419190369e-06
162,eigenvector,4,0.0001054689477313802
162,eigenvector,5,0.0001766935863645066
162,eigenvector,6,4.580942455675647e-05
162,eigenvector,7,4.521503246302204e-07
162,eigenvector,8,1.8546037346774048e-05
163,eigenvector,1,0.00028431713919727797
163,eigenvector,2,0.9653775039308148
163,eigenvector,3,9.417068419912405e-05
163,eigenvector,4,0.0001073119699166103
163,eigenvector,5,0.03349494903909484
163,eigenvector,6,0.00042491900559042103
163,eigenvector,7,6.005397746964845e-05
163,eigenvector,8,0.0001567742527174387
164,eigenvector,1,0.126417080376214
164,eigenvector,2,0.15344672460515027
164,eigenvector,3,0.03976987920442142
164,eigenvector,4,0.009444443398396864
164,eigenvector,5,0.17069955663617228
164,eigenvector,6,0.46755050863511666
164,eigenvector,7,0.03267170279573123
164,eigenvector,8,1.0434779720815606e-07
165,eigenvector,1,0.18836590322909372
165,eigenvector,2,0.029463557982118804
165,eigenvector,3,0.04543659104694755
165,eigenvector,4,0.31366728599264077
165,eigenvector,5,0.20855509636519062
165,eigenvector,6,0.05598753124805733
165,eigenvector,7,0.12857790260999943
165,eigenvector,8,0.029946131524951635
166,eigenvector,1,0.4969453463389717
166,eigenvector,2,0.2294400033210263
166,eigenvector,3,0.010415009096916693
166,eigenvector,4,0.21075929511122896
166,eigenvector,5,7.107165692207007e-07
166,eigenvector,6,0.004860378749381376
166,eigenvector,7,0.04075725527982925
166,eigenvector,8,0.0068220013850765066
167,eigenvector,1,0.29059962316086657
167,eigenvector,2,0.4760072866957233
167,eigenvector,3,0.10001839533656309
167,eigenvector,4,0.10344366059602339
167,eigenvector,5,0.0067263025085642966
167,eigenvector,6,5.273232450523839e-07
167,eigenvector,7,0.023203810182481063
167,eigenvector,8,3.9419553325237026e-07
168,eigenvector,1,0.5347671452769484
168,eigenvector,2,0.20239365358314199
168,eigenvector,3,1.1700211822692893e-06
168,eigenvector,4,0.021995999662716204
168,eigenvector,5,0.1714184176034755
168,eigenvector,6,8.380860599663098e-07
168,eigenvector,7,0.06942221472500888
168,eigenvector,8,5.610404668080096e-07
169,eigenvector,1,0.04364977825856297
169,eigenvector,2,0.7711580623342654
169,eigenvector,3,0.009052721454247068
169,eigenvector,4,0.1475081236308043
169,eigenvector,5,0.001441461094763354
169,eigenvector,6,0.016783424992638303
169,eigenvector,7,1.1577850672482724e-06
169,eigenvector,8,0.01040527044865121
170,eigenvector,1,0.08139532833310216
170,eigenvector,2,0.7737902205648514
170,eigenvector,3,0.07132863077137488
170,eigenvector,4,0.04691722658444049
170,eigenvector,5,0.010666484524259915
170,eigenvector,6,0.015900356690090926
170,eigenvector,7,7.727929689290761e-07
170,eigenvector,8,9.797379113051177e-07
171,eigenvector,1,0.07755314590836239
171,eigenvector,2,0.38152655758900844
171,eigenvector,3,0.12373657016926062
171,eigenvector,4,3.586260193220471e-07
171,eigenvector,5,0.2564136448227136
171,eigenvector,6,6.944772367074958e-07
171,eigenvector,7,3.0763383537882177e-07
171,eigenvector,8,0.16076872077256346
172,eigenvector,1,2.1568633728824895e-06
172,eigenvector,2,0.8534337293639545
172,eigenvector,3,0.01594985800491856
172,eigenvector,4,4.007182007617335e-05
172,eigenvector,5,0.0020623388567928024
172,eigenvector,6,0.0007621625097108829
172,eigenvector,7,0.00017873953568176527
172,eigenvector,8,0.12757094304449235
173,eigenvector,1,0.011453539289995573
173,eigenvector,2,0.6699090110639825
173,eigenvector,3,0.18517041515830968
173,eigenvector,4,0.0066515368275349455
173,eigenvector,5,0.10662302158562599
173,eigenvector,6,0.015444799176821473
173,eigenvector,7,0.004414883075195056
173,eigenvector,8,0.00033279382153479284
174,eigenvector,1,4.418379689198952e-07
174,eigenvector,2,0.3593328687967454
174,eigenvector,3,0.4818118636357967
174,eigenvector,4,0.040191916678611835
174,eigenvector,5,0.030409194826304716
174,eigenvector,6,0.06829489014292783
174,eigenvector,7,0.01995840878509549
174,eigenvector,8,4.1529554893708765e-07
175,eigenvector,1,0.0006711770930525775
175,eigenvector,2,0.8188537511181425
175,eigenvector,3,0.15508201482512024
175,eigenvector,4,0.000883783102089353
175,eigenvector,5,0.0073855618480360334
175,eigenvector,6,2.1902858529631755e-06
175,eigenvector,7,0.016636008821275697
175,eigenvector,8,0.0004855129054306987
176,eigenvector,1,0.018672779685158132
176,eigenvector,2,0.41342558236848903
176,eigenvector,3,0.3293784870718558
176,eigenvector,4,0.03586135664810437
176,eigenvector,5,0.08166918196727606
176,eigenvector,6,2.4640865166400583e-07
176,eigenvector,7,0.05426888906483793
176,eigenvector,8,0.06672347678462703
177,eigenvector,1,8.301555652575829e-05
177,eigenvector,2,0.8313951777733763
177,eigenvector,3,0.12420270567985389
177,eigenvector,4,1.3744825315074013e-06
177,eigenvector,5,0.01073960648548455
177,eigenvector,6,1.177997377315101e-05
177,eigenvector,7,0.029992309560149304
177,eigenvector,8,0.003574030487305368
178,eigenvector,1,1.3155257305113507e-05
178,eigenvector,2,0.9996905886131393
178,eigenvector,3,0.00016498980555582784
178,eigenvector,4,8.500041705436351e-07
178,eigenvector,5,6.410106427927795e-05
178,eigenvector,6,1.7496599563308068e-06
178,eigenvector,7,9.887256486090684e-06
178,eigenvector,8,5.4678338107410234e-05
179,eigenvector,1,1.2199811964953972e-05
179,eigenvector,2,0.9997840244680286
179,eigenvector,3,0.00015129106890090222
179,eigenvector,4,6.264979599477869e-07
179,eigenvector,5,4.0576197894915894e-05
179,eigenvector,6,1.1616108832412759e-06
179,eigenvector,7,7.229378792316436e-06
